PER-PAGE KEYWORD SETS — Primary + Secondary + Long-Tail Variations,,,,,,
"For each page: use PRIMARY keyword in title, H1, URL slug, and meta description. Weave SECONDARY keywords into H2s, body paragraphs, and image alt text. Use LONG-TAIL variations in FAQ sections, subheadings, and supporting sentences. Aim to naturally include all keywords — never stuff.",,,,,,
"KEY:   🔑 PRIMARY = own this word in the page's title/H1/URL  |  2️⃣ SECONDARY = weave into H2s and body  |  🔍 LONG-TAIL = FAQ sections, supporting sentences, alt text",,,,,,
Page URL  /  Keyword,Role,Vol,Diff,Intent,Where to Use on the Page,Priority
erp implementation failure,🔑 Primary,480,19,Informational,"Title, H1, meta desc",P1 — Urgent
erp implementation,2️⃣ Secondary,1000,22,Informational,"Intro para, H2",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,"Body — ""choosing the wrong manufacturing ERP""",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,Body — target audience framing,P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Body copy,P2 — High
erp implementation consultant,2️⃣ Secondary,260,22,Commercial,"CTA — ""hire an independent consultant""",P2 — High
why erp implementations fail decorated goods,🔍 Long-tail,10,5,Informational,H2,P3 — Medium
erp project went over budget,🔍 Long-tail,20,8,Informational,Intro hook,P3 — Medium
erp failure case study,🔍 Long-tail,30,10,Informational,Body — link to case study,P3 — Medium
erp implementation cost overrun,🔍 Long-tail,25,9,Informational,Body para,P3 — Medium
print erp wrong choice consequences,🔍 Long-tail,10,4,Informational,Sector-specific angle,P3 — Medium
  /problems/wrong-erp-software  ·  Problem  ·  Chosen the wrong ERP — now what,,,,,,
erp for small business,🔑 Primary,590,16,Informational,"Title, H1, meta desc",P1 — Urgent
erp implementation,2️⃣ Secondary,1000,22,Informational,"Intro — ""before your next implementation""",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,Body — ERP types comparison,P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Body copy,P2 — High
orderwise review,2️⃣ Secondary,150,9,Commercial,"Body — ""systems like OrderWise""",P2 — High
erp implementation consultant,2️⃣ Secondary,260,22,Commercial,CTA,P2 — High
erp selection checklist decorated goods,🔍 Long-tail,10,5,Commercial,Lead magnet CTA,P3 — Medium
how to choose erp print business,🔍 Long-tail,20,7,Informational,H2,P3 — Medium
erp that works with shopify embroidery,🔍 Long-tail,10,4,Commercial,Integration angle,P3 — Medium
erp requirements brief template,🔍 Long-tail,15,6,Commercial,Resource link,P3 — Medium
independent erp evaluation service,🔍 Long-tail,20,8,Commercial,CTA,P3 — Medium
  /problems/ecommerce-not-connected  ·  Problem  ·  eCommerce platform disconnected from operations,,,,,,
ecommerce integration small business,🔑 Primary,390,15,Commercial,"Title, H1, meta desc",P1 — Urgent
ecommerce fulfilment,2️⃣ Secondary,1600,15,Informational,"Body — ""order fulfilment disconnected""",P2 — High
ecommerce website development,2️⃣ Secondary,1900,9,Informational,"FAQ — ""should I rebuild my ecommerce?""",P2 — High
B2B order management,2️⃣ Secondary,150,13,Commercial,Body — B2B angle,P2 — High
wholesale order system,2️⃣ Secondary,150,12,Commercial,Body — wholesale channel,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"CTA — ""the fix is connecting ecommerce to ERP""",P2 — High
shopify not syncing with erp,🔍 Long-tail,30,7,Informational,"Intro hook — ""sound familiar?""",P3 — Medium
woocommerce erp integration print,🔍 Long-tail,20,6,Informational,Platform-specific H2,P3 — Medium
ecommerce to erp integration decorated goods,🔍 Long-tail,10,4,Commercial,Sector angle,P3 — Medium
order management shopify embroidery business,🔍 Long-tail,15,5,Commercial,Body para,P3 — Medium
stock sync ecommerce warehouse,🔍 Long-tail,25,8,Informational,Problem description bullet,P3 — Medium
  /problems/disaster-recovery  ·  Problem  ·  Systems go down — no recovery plan,,,,,,
business continuity disaster recovery plan,🔑 Primary,320,18,Informational,"Title, H1, meta desc",P1 — Urgent
disaster recovery services,2️⃣ Secondary,880,22,Commercial,"H2, body intro",P2 — High
backup and disaster recovery,2️⃣ Secondary,480,15,Informational,"Body — ""backup alone isn't DR""",P2 — High
disaster recovery solutions,2️⃣ Secondary,480,22,Commercial,Body para,P2 — High
disaster recovery policy,2️⃣ Secondary,390,22,Informational,"Resource mention — ""DR policy template""",P2 — High
business continuity disaster recovery,2️⃣ Secondary,320,22,Informational,Synonym use in body,P2 — High
disaster recovery plan small manufacturer,🔍 Long-tail,30,7,Informational,Sector-specific H2,P3 — Medium
what happens when systems go down print,🔍 Long-tail,15,5,Informational,Scenario-based intro,P3 — Medium
business continuity plan embroidery business,🔍 Long-tail,10,4,Informational,Sector angle,P3 — Medium
rto rpo small business,🔍 Long-tail,25,8,Informational,Technical body section,P3 — Medium
cloud backup small manufacturing,🔍 Long-tail,40,10,Commercial,Solution mention,P3 — Medium
  /problems/ai-paralysis  ·  Problem  ·  Business owners stuck on whether/how to use AI,,,,,,
ai readiness small business,🔑 Primary,210,14,Informational,"Title, H1, meta desc",P1 — Urgent
ai readiness assessment,2️⃣ Secondary,170,14,Commercial,"Body — ""take the assessment""",P2 — High
ai readiness check,2️⃣ Secondary,170,10,Commercial,Tool CTA,P2 — High
product master data management,2️⃣ Secondary,140,15,Informational,"Body — ""AI needs clean data first""",P2 — High
standard operating procedure template,2️⃣ Secondary,1300,28,Informational,"Body — ""document processes before AI""",P2 — High
business process automation small business,2️⃣ Secondary,210,18,Informational,Body — automation vs AI framing,P2 — High
ai readiness for print business,🔍 Long-tail,10,4,Informational,Sector framing,P3 — Medium
should my small business use ai,🔍 Long-tail,30,8,Informational,H2 — question format,P3 — Medium
ai tools for embroidery business,🔍 Long-tail,10,4,Informational,Sector-specific example,P3 — Medium
process automation before ai small biz,🔍 Long-tail,10,5,Informational,Key message para,P3 — Medium
ai for decorated goods operations,🔍 Long-tail,10,3,Informational,Sector conclusion,P3 — Medium
  /problems/manual-workarounds  ·  Problem  ·  Business running on spreadsheets and manual re-entry,,,,,,
business process automation small business,🔑 Primary,210,18,Informational,"Title, H1, meta desc",P1 — Urgent
standard operating procedure template,2️⃣ Secondary,1300,28,Informational,"Body — ""step 1: document the manual process""",P2 — High
sop examples,2️⃣ Secondary,320,17,Informational,"Resource CTA — ""SOP template download""",P2 — High
operational planning team,2️⃣ Secondary,4400,24,Informational,"Body — ""planning is impossible without data""",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"CTA — ""the fix""",P2 — High
product data management,2️⃣ Secondary,260,22,Informational,"Body — ""product data held in spreadsheets""",P2 — High
manual re-entry costs print business,🔍 Long-tail,10,4,Informational,Cost of problem section,P3 — Medium
spreadsheet chaos small manufacturer,🔍 Long-tail,15,5,Informational,Intro hook,P3 — Medium
automate order management embroidery,🔍 Long-tail,10,4,Commercial,Solution para,P3 — Medium
eliminate manual data entry small biz,🔍 Long-tail,20,7,Commercial,Body — how,P3 — Medium
stop double keying orders workwear,🔍 Long-tail,10,3,Informational,Sector-specific example,P3 — Medium
  /problems/no-ops-owner  ·  Problem  ·  No one owns operations in the business,,,,,,
head of operations small business,🔑 Primary,90,11,Commercial,"Title, H1, meta desc",P1 — Urgent
operational planning team,2️⃣ Secondary,4400,24,Informational,"Body — ""you need a planning owner""",P2 — High
sales & operations planning,2️⃣ Secondary,390,22,Informational,Body — S&OP intro,P2 — High
fractional cto,2️⃣ Secondary,590,8,Commercial,"CTA — ""fractional ops lead""",P2 — High
managed it support,2️⃣ Secondary,3600,20,Informational,"FAQ — ""is this like managed IT?""",P2 — High
it manager small business,2️⃣ Secondary,200,15,Informational,"Body — ""beyond IT management""",P2 — High
operations manager small manufacturer,🔍 Long-tail,30,8,Commercial,Target role framing,P3 — Medium
who owns operations in small business,🔍 Long-tail,20,6,Informational,Intro question,P3 — Medium
fractional head of operations uk,🔍 Long-tail,15,5,Commercial,CTA angle,P3 — Medium
operations leadership without full hire,🔍 Long-tail,10,4,Commercial,Value prop,P3 — Medium
part time operations director,🔍 Long-tail,25,7,Commercial,Service framing,P3 — Medium
▌ SECTOR PAGES,,,,,,
"  /sectors/garment-decoration  ·  Sector  ·  Garment decoration — embroidery, screen print, DTF, DTG",,,,,,
garment decoration business systems,🔑 Primary,50,8,Commercial,"Title, H1, meta desc",P1 — Urgent
embroidery business management,2️⃣ Secondary,80,11,Commercial,H2 — embroidery angle,P2 — High
artwork management software,2️⃣ Secondary,110,14,Commercial,Sector challenge bullet,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"Body — ""your ERP must handle decoration methods""",P2 — High
embroidery production workflow,2️⃣ Secondary,80,10,Informational,Challenge section,P2 — High
production scheduling for print,2️⃣ Secondary,150,12,Informational,Body para,P2 — High
embroidery screen print dtf operations,🔍 Long-tail,10,4,Informational,Multi-method section H2,P3 — Medium
garment decoration erp systems uk,🔍 Long-tail,15,5,Commercial,Body para,P3 — Medium
embroidery shop systems integration,🔍 Long-tail,10,4,Commercial,Use case,P3 — Medium
garment decoration order management,🔍 Long-tail,10,3,Commercial,Workflow section,P3 — Medium
custom apparel operations consultant,🔍 Long-tail,15,5,Commercial,Alt sector framing,P3 — Medium
  /sectors/workwear-teamwear  ·  Sector  ·  Workwear and teamwear supplier operations,,,,,,
workwear supplier operations,🔑 Primary,40,7,Commercial,"Title, H1, meta desc",P1 — Urgent
wholesale order system,2️⃣ Secondary,150,12,Commercial,Body — B2B ordering angle,P2 — High
B2B order management,2️⃣ Secondary,150,13,Commercial,"H2 — ""B2B customer portal""",P2 — High
multi-location inventory management,2️⃣ Secondary,150,12,Commercial,Challenge bullet,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"CTA — ""ERP for workwear""",P2 — High
embroidery for workwear,2️⃣ Secondary,80,10,Informational,Decoration method section,P2 — High
workwear b2b portal implementation,🔍 Long-tail,15,5,Commercial,Use case H2,P3 — Medium
teamwear supplier erp system,🔍 Long-tail,10,4,Commercial,System section,P3 — Medium
workwear ecommerce integration,🔍 Long-tail,20,6,Commercial,Integration challenge,P3 — Medium
uniform supplier operations system,🔍 Long-tail,15,5,Commercial,Alt framing,P3 — Medium
multi-location workwear management,🔍 Long-tail,10,4,Commercial,Scale section,P3 — Medium
  /sectors/print-promotional  ·  Sector  ·  Print and promotional merchandise businesses,,,,,,
print shop operations management,🔑 Primary,120,11,Informational,"Title, H1, meta desc",P1 — Urgent
print production scheduling software,2️⃣ Secondary,250,12,Informational,Challenge section,P2 — High
artwork approval workflow,2️⃣ Secondary,150,10,Informational,Workflow challenge,P2 — High
promotional merchandise distributor,2️⃣ Secondary,150,11,Commercial,Body — promo merch angle,P2 — High
ecommerce fulfilment,2️⃣ Secondary,1600,15,Informational,Body — POD/ecommerce integration,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,CTA section,P2 — High
promo merchandise operations consultant,🔍 Long-tail,10,4,Commercial,Sector framing,P3 — Medium
print shop production workflow system,🔍 Long-tail,15,5,Commercial,System section,P3 — Medium
promotional merchandise erp,🔍 Long-tail,10,4,Commercial,ERP angle,P3 — Medium
screen print job management software,🔍 Long-tail,20,7,Commercial,Software challenge,P3 — Medium
print on demand fulfilment operations,🔍 Long-tail,15,5,Informational,POD section,P3 — Medium
▌ LOCATION PAGES,,,,,,
  /locations/fractional-cto  ·  Location  ·  Fractional CTO — regional landing page,,,,,,
hire fractional cto,🔑 Primary,170,3,Commercial,"Title, H1 — direct intent match",P1 — Urgent
fractional cto,2️⃣ Secondary,590,8,Commercial,"H2, body, meta desc",P2 — High
fractional cto services,2️⃣ Secondary,110,6,Commercial,Service description para,P2 — High
managed it support services,2️⃣ Secondary,1900,25,Commercial,"FAQ — ""vs managed IT""",P2 — High
it manager small business,2️⃣ Secondary,200,15,Informational,Body — alternative framing,P2 — High
technology leadership,2️⃣ Secondary,80,10,Informational,Value prop para,P2 — High
fractional cto uk,🔍 Long-tail,40,6,Commercial,Geographic variant H2,P3 — Medium
fractional cto sussex,🔍 Long-tail,15,3,Commercial,Local signal,P3 — Medium
fractional cto for print business uk,🔍 Long-tail,10,3,Commercial,Sector + geo,P3 — Medium
part time cto uk,🔍 Long-tail,25,5,Commercial,Alt title variant,P3 — Medium
hire technology consultant uk,🔍 Long-tail,30,7,Commercial,Broader intent capture,P3 — Medium
▌ BLOG POSTS,,,,,,
"  /blog/the-real-cost-of-a-failed-erp-project  ·  Blog  ·  ERP failure case study — £150k, 18 months",,,,,,
erp implementation failure,🔑 Primary,480,19,Informational,"Title, H1, meta desc — rewrite to include keyword",P1 — Urgent
erp implementation,2️⃣ Secondary,1000,22,Informational,"Intro para, H2 subheadings",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,"Body — ""the wrong manufacturing ERP""",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,Body — target audience,P2 — High
erp implementation consultant,2️⃣ Secondary,260,22,Commercial,Conclusion CTA,P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Body comparison,P2 — High
real cost erp failure case study,🔍 Long-tail,30,7,Informational,Title variant — long-tail rich,P3 — Medium
erp project over budget what to do,🔍 Long-tail,20,6,Informational,H2 section,P3 — Medium
erp without requirements brief,🔍 Long-tail,15,5,Informational,Core argument section,P3 — Medium
how much does erp implementation cost,🔍 Long-tail,50,9,Informational,FAQ section,P3 — Medium
erp failure small manufacturer,🔍 Long-tail,20,5,Informational,Sector-specific body,P3 — Medium
  /blog/ecommerce-integration-trap  ·  Blog  ·  Why ecommerce integration projects fail,,,,,,
ecommerce fulfilment,🔑 Primary,1600,15,Informational,"Meta desc, H2 subheadings",P1 — Urgent
ecommerce website development,2️⃣ Secondary,1900,9,Informational,"Intro hook — ""ecommerce is easy, integration isn't""",P2 — High
B2B order management,2️⃣ Secondary,150,13,Commercial,Body — B2B angle,P2 — High
wholesale order system,2️⃣ Secondary,150,12,Commercial,Body para,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"CTA — ""the ERP connection""",P2 — High
shopify for decorated goods,2️⃣ Secondary,150,9,Commercial,Body — Shopify angle,P2 — High
shopify erp integration print business,🔍 Long-tail,20,6,Informational,H2 section,P3 — Medium
woocommerce not syncing warehouse,🔍 Long-tail,15,5,Informational,Scenario-led section,P3 — Medium
ecommerce integration project failure causes,🔍 Long-tail,20,7,Informational,Core content H2,P3 — Medium
order fulfilment automation print shop,🔍 Long-tail,15,5,Commercial,Body — automation angle,P3 — Medium
ecommerce order flow embroidery,🔍 Long-tail,10,4,Informational,Sector example,P3 — Medium
  /blog/what-happens-when-your-systems-go-down  ·  Blog  ·  Business continuity and disaster recovery blog post,,,,,,
drp disaster recovery plan,🔑 Primary,480,8,Informational,"Title, H1, meta desc — add DR keyword",P1 — Urgent
disaster recovery services,2️⃣ Secondary,880,22,Commercial,"Body — ""professional DR services""",P2 — High
backup and disaster recovery,2️⃣ Secondary,480,15,Informational,H2 — backup vs full DR,P2 — High
disaster recovery policy,2️⃣ Secondary,390,22,Informational,"Resource link — ""DR policy template""",P2 — High
disaster recovery solutions,2️⃣ Secondary,480,22,Commercial,CTA section,P2 — High
business continuity disaster recovery,2️⃣ Secondary,320,22,Informational,Synonym use,P2 — High
what happens when erp goes down print,🔍 Long-tail,15,5,Informational,Scenario intro,P3 — Medium
disaster recovery checklist manufacturer,🔍 Long-tail,20,6,Informational,Resource CTA,P3 — Medium
recovery time objective small business,🔍 Long-tail,20,7,Informational,RTO/RPO section,P3 — Medium
business continuity plan embroidery,🔍 Long-tail,10,4,Informational,Sector framing,P3 — Medium
system outage small manufacturer plan,🔍 Long-tail,10,3,Informational,Scenario body,P3 — Medium
"  /blog/ai-isnt-your-problem-your-processes-are  ·  Blog  ·  AI readiness starts with processes, not tools",,,,,,
ai readiness assessment,🔑 Primary,170,14,Commercial,"Meta desc, H2 — ""take the assessment""",P1 — Urgent
ai readiness check,2️⃣ Secondary,170,10,Commercial,CTA — link to /tools/ai-readiness-check,P2 — High
ai readiness small business,2️⃣ Secondary,210,14,Informational,Intro para — audience framing,P2 — High
standard operating procedure template,2️⃣ Secondary,1300,28,Informational,"Body — ""fix your processes first""",P2 — High
product data management,2️⃣ Secondary,260,22,Informational,"Body — ""clean data before AI""",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"Conclusion — ""get your systems right first""",P2 — High
ai readiness for small manufacturer,🔍 Long-tail,15,5,Informational,Audience framing,P3 — Medium
is my business ready for ai,🔍 Long-tail,25,6,Informational,H2 question format,P3 — Medium
process documentation before ai adoption,🔍 Long-tail,10,4,Informational,Core argument H2,P3 — Medium
ai tools for print business,🔍 Long-tail,15,5,Commercial,Sector-specific example,P3 — Medium
machine learning small manufacturer ready,🔍 Long-tail,10,3,Informational,Technical angle,P3 — Medium
▌ TOOLS,,,,,,
  /tools/ai-readiness-check  ·  Tool  ·  Free AI readiness assessment tool,,,,,,
ai readiness check,🔑 Primary,170,10,Commercial,"Title, H1, meta desc",P1 — Urgent
ai readiness assessment,2️⃣ Secondary,170,14,Commercial,"H2, intro description",P2 — High
ai readiness small business,2️⃣ Secondary,210,14,Informational,Audience targeting para,P2 — High
product master data,2️⃣ Secondary,140,9,Informational,"Tool output — ""your data score""",P2 — High
standard operating procedure template,2️⃣ Secondary,1300,28,Informational,"Result explanation — ""fix SOPs first""",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"CTA — ""ready to look at your systems?""",P2 — High
free ai readiness test small business,🔍 Long-tail,20,5,Commercial,Title subtitle,P3 — Medium
ai readiness score check,🔍 Long-tail,15,4,Commercial,Tool description,P3 — Medium
is my business data ai ready,🔍 Long-tail,10,4,Informational,Tool explanation,P3 — Medium
ai readiness for print embroidery,🔍 Long-tail,10,3,Commercial,Sector framing,P3 — Medium
5 minute ai assessment small business,🔍 Long-tail,10,4,Commercial,Speed/format signal,P3 — Medium
  /tools/should-i-replace-erp  ·  Tool  ·  8-question ERP replacement decision tool,,,,,,
erp replacement,🔑 Primary,260,16,Commercial,"Title, H1, meta desc",P1 — Urgent
erp for small business,2️⃣ Secondary,590,16,Informational,"Tool intro — ""is your ERP the right fit?""",P2 — High
erp implementation,2️⃣ Secondary,1000,22,Informational,"Body — ""before you implement a replacement""",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,"Tool result — ""suitable manufacturing ERPs""",P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Result recommendation,P2 — High
erp implementation consultant,2️⃣ Secondary,260,22,Commercial,"CTA — ""want help evaluating?""",P2 — High
should i replace my erp system,🔍 Long-tail,40,7,Informational,H1 question format,P3 — Medium
erp upgrade vs replacement,🔍 Long-tail,25,8,Informational,Tool output framing,P3 — Medium
signs you need new erp small business,🔍 Long-tail,20,6,Informational,Intro content,P3 — Medium
erp selection criteria small manufacturer,🔍 Long-tail,20,7,Commercial,Tool criteria section,P3 — Medium
replace orderwise with better erp,🔍 Long-tail,10,4,Commercial,Software-specific variant,P3 — Medium
▌ RESOURCES,,,,,,
  /resources/software-reviews  ·  Resource  ·  Honest ERP and software reviews for the sector,,,,,,
orderwise review small business,🔑 Primary,150,9,Commercial,"Title, H1, meta desc — lead with the review people search for",P1 — Urgent
erp for small business,2️⃣ Secondary,590,16,Informational,"Hub intro — ""which ERP is right?""",P2 — High
audit software,2️⃣ Secondary,390,25,Commercial,"Page intro — ""software evaluated from an audit perspective""",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,Review category header,P2 — High
artwork management software,2️⃣ Secondary,110,14,Commercial,Review category,P2 — High
production scheduling software for print,2️⃣ Secondary,250,12,Informational,Review category,P2 — High
panta erp vs orderwise,🔍 Long-tail,100,5,Commercial,Review title — quick win,P3 — Medium
deconetwork review decorated goods,🔍 Long-tail,30,4,Commercial,Review title,P3 — Medium
shopify vs bespoke for embroidery,🔍 Long-tail,15,5,Commercial,Comparison review,P3 — Medium
best erp for embroidery business uk,🔍 Long-tail,20,6,Commercial,Buyer guide headline,P3 — Medium
honest erp reviews no vendor bias,🔍 Long-tail,10,4,Commercial,Page subtitle/trust signal,P3 — Medium
▌ 🚀 PUBLISHING THIS WEEK (Already Written),,,,,,
"  /blog/embroidery-stitch-density  ·  Blog — Live Mon 19 May  ·  Embroidery stitch density — quality, speed, cost",,,,,,
embroidery stitch density,🔑 Primary,300,9,Informational,"Title, H1, meta desc, URL slug",P1 — Urgent
embroidery quality standards,2️⃣ Secondary,80,9,Informational,"H2 — ""Quality standards for decorated goods""",P2 — High
high density embroidery,2️⃣ Secondary,150,10,Informational,H2 or body para,P2 — High
embroidery thread types,2️⃣ Secondary,225,8,Informational,Body section — thread choice affects density,P2 — High
embroidery digitizing density,2️⃣ Secondary,115,8,Informational,"Body — ""digitization impacts stitch count""",P2 — High
embroidery stitch count per cm,🔍 Long-tail,10,4,Informational,Technical body section,P3 — Medium
how stitch density affects embroidery quality,🔍 Long-tail,15,5,Informational,H2 question format,P3 — Medium
stitch density for workwear embroidery,🔍 Long-tail,10,4,Informational,Sector-specific section,P3 — Medium
embroidery tension and density issues,🔍 Long-tail,20,5,Informational,Troubleshooting section,P3 — Medium
3d puff embroidery stitch requirements,🔍 Long-tail,15,5,Informational,Technique variation,P3 — Medium
  /blog/heat-press-temperature-guide  ·  Blog — Live Tue 20 May  ·  Heat press temperature and dwell time guide,,,,,,
heat press temperature settings,🔑 Primary,400,8,Informational,"Title, H1, meta desc, URL slug",P1 — Urgent
heat transfer printing,2️⃣ Secondary,350,12,Informational,"Intro — ""heat transfer decoration method""",P2 — High
heat transfer vs sublimation,2️⃣ Secondary,400,8,Informational,Comparison section H2,P2 — High
heat press for t-shirt printing,2️⃣ Secondary,500,18,Commercial,Body — equipment reference,P2 — High
plastisol transfer,2️⃣ Secondary,150,10,Informational,Transfer type section,P2 — High
